index,char,frequency
462,ブ,11574
463,4,11464
464,以,11287
465,只,11027
466,@,10871
467,土,10848
468,子,10796
469,卜,10752
470,□,10700
471,Ν,10692
472,冂,10622
473,◇,10608
475,〟,10542
476,公,10463
477,g,10436
478,ο,10417
479,ユ,10350
480,け,10237
481,叭,10199
482,R,10125
483,卞,10113
484,ウ,10109
485,ぐ,10031
486,℡,9976
487,ふ,9935
488,弐,9879
489,戈,9872
490,Ｉ,9861
491,ｗ,9822
492,＆,9822
493,∞,9715
494,ｹ,9444
495,モ,9358
496,ｮ,9283
497,ⅱ,9280
498,上,9255
499,∀,9248
500,汽,9186
501,サ,9146
502,不,9139
503,d,9132
504,デ,8896
505,グ,8888
506,‰,8846
507,行,8808
508,S,8797
509,m,8773
510,％,8704
511,プ,8664
512,ガ,8663
513,み,8656
514,ね,8610
515,芥,8588
517,戔,8473
518,ヨ,8396
519,沙,8396
521,ヌ,8339
522,仏,8324
523,匸,8323
524,抖,8311
525,Ｋ,8139
526,ど,8126
527,絲,8107
528,ろ,8076
529,ダ,8034
530,田,7908
531,ⅰ,7785
532,幵,7694
533,井,7658
534,ﾓ,7521
535,千,7462
536,必,7447
537,め,7411
538,ケ,7327
539,炎,7274
540,ベ,7138
541,Ⅹ,7125
542,赱,7043
543,?,7032
544,ひ,7022
545,パ,6932
546,ワ,6891
547,▽,6869
548,b,6840
549,べ,6831
550,之,6782
551,斤,6775
552,守,6756
553,凵,6745
554,劣,6695
556,ν,6601
558,せ,6441
559,卍,6432
560,§,6413
561,戀,6386
562,弍,6360
563,ズ,6349
564,ネ,6346
565,⊆,6264
566,P,6261
567,竿,6162
568,乍,6142
569,目,6071
570,＇,6033
571,ⅵ,6013
572,山,5981
573,水,5980
574,亠,5957
575,壬,5956
576,艾,5924
577,Ｃ,5871
578,＃,5846
579,ﾎ,5836
580,㍊,5789
581,㏍,5679
582,ョ,5677
583,乃,5648
584,父,5645
585,ビ,5643
586,亅,5626
587,竓,5582
588,圷,5580
589,ご,5460
590,D,5372
591,薔,5367
592,ｻ,5343
593,干,5305
594,→,5285
595,≒,5252
596,ゴ,5250
597,←,5248
598,苡,5238
599,儿,5221
600,己,5218
601,天,5190
602,p,5177
603,刀,5176
604,気,5160
605,ξ,5057
606,冬,5054
607,本,5039
608,セ,5014
609,丨,4985
610,莎,4982
611,Γ,4965
612,ﾈ,4965
613,茫,4947
614,女,4945
615,Σ,4890
616,ボ,4872
618,ぞ,4856
619,々,4852
620,夊,4826
621,回,4789
622,∫,4727
623,鑾,4715
624,⊇,4691
625,火,4651
626,士,4639
627,表,4616
628,芍,4615
629,∽,4592
630,Д,4589
632,元,4506
633,情,4495
634,乏,4494
635,G,4479
636,夕,4444
637,卅,4430
638,手,4425
639,又,4416
640,中,4401
641,丐,4387
642,歹,4351
643,℃,4326
644,㌣,4277
645,生,4276
647,私,4251
648,死,4248
649,ば,4247
650,批,4243
652,比,4217
653,衛,4212
654,〝,4207
655,ﾜ,4190
656,ぁ,4172
657,Ａ,4157
658,几,4133
659,ゆ,4115
660,今,4102
661,禊,4099
662,㌧,4064
663,綴,4061
664,旦,4060
665,木,4055
666,$,4010
667,ホ,4005
668,８,4001
669,ょ,3990
670,伝,3984
671,匁,3966
672,前,3943
673,Г,3874
674,無,3871
675,幺,3869
676,ｳ,3847
677,о,3841
678,廾,3831
679,ザ,3755
680,芸,3750
681,＂,3718
682,衍,3674
683,戦,3663
684,Ｈ,3616
685,ヶ,3590
686,ｍ,3568
687,蠶,3559
688,神,3545
689,ヴ,3526
690,久,3523
691,魔,3521
692,ギ,3502
693,出,3488
694,化,3479
695,寺,3466
696,仡,3465
697,㌃,3454
699,Ζ,3432
700,&,3406
701,外,3402
702,符,3361
703,些,3345
704,泛,3345
705,Q,3345
706,見,3337
708,勿,3321
709,ゾ,3305
710,Π,3276
711,丕,3266
712,Θ,3248
713,∬,3247
714,ピ,3244
715,巧,3236
716,此,3231
717,ヵ,3228
718,月,3215
719,Ｅ,3198
720,ヱ,3193
722,抃,3184
723,仗,3164
724,伐,3163
725,刋,3144
726,奎,3144
727,国,3139
728,全,3132
729,㌦,3110
730,亡,3101
731,爿,3093
732,力,3082
733,厄,3079
734,数,3075
735,野,3074
736,会,3052
737,他,3050
738,B,3048
740,美,3014
741,品,2995
742,仄,2994
744,言,2991
745,ω,2988
746,筏,2979
747,ず,2970
748,術,2954
749,τ,2947
750,何,2914
752,毛,2902
753,羔,2895
754,乞,2890
755,Ｆ,2890
756,恣,2888
758,Ｍ,2878
759,ポ,2847
760,ゲ,2847
761,仍,2847
762,間,2841
763,ぶ,2817
764,米,2748
765,杙,2744
767,Ο,2739
768,災,2732
769,装,2722
770,ゅ,2712
771,者,2711
772,σ,2695
773,ゥ,2683
774,㌍,2678
775,事,2669
776,勺,2666
777,２,2660
778,万,2653
779,主,2648
780,亥,2636
781,ほ,2633
782,ヅ,2615
783,長,2614
784,慫,2613
785,夂,2594
786,獣,2592
787,忙,2581
788,む,2580
789,q,2575
790,㌘,2563
791,ｄ,2556
793,花,2550
794,Т,2535
795,汐,2521
796,ぬ,2512
797,９,2494
798,佳,2478
799,坏,2457
800,Х,2456
801,げ,2452
802,複,2446
803,辻,2442
804,д,2413
805,㌔,2395
806,衣,2391
807,作,2388
808,㍗,2383
809,聿,2363
810,部,2344
811,抒,2332
812,兀,2315
813,白,2311
814,ペ,2310
815,戸,2310
816,芳,2307
817,づ,2304
818,О,2297
819,林,2279
820,時,2272
821,び,2271
822,ゎ,2265
823,刃,2262
824,立,2258
825,方,2256
826,仝,2254
827,廻,2252
828,体,2251
829,Ω,2249
830,靈,2246
831,地,2245
832,太,2233
833,３,2225
834,豸,2225
835,ぜ,2217
836,雫,2216
837,悪,2195
838,物,2190
839,空,2176
840,然,2174
841,片,2170
842,面,2159
843,軈,2159
844,６,2140
845,機,2135
846,豼,2129
847,苅,2127
848,欒,2120
849,六,2117
850,思,2111
851,星,2109
852,η,2101
855,↓,2079
856,互,2070
857,用,2058
858,宍,2054
859,世,2051
860,器,2041
861,高,2035
862,北,2030
863,石,2027
864,年,2014
865,様,2013
866,ゼ,2001
867,望,2000
868,来,1996
869,黒,1983
870,病,1974
871,式,1970
872,呪,1958
873,Ⅸ,1941
874,尖,1935
875,合,1931
876,赤,1928
877,♀,1919
878,±,1910
879,笏,1910
880,郎,1906
881,什,1903
882,扞,1899
883,海,1899
884,㌫,1896
885,正,1884
886,真,1871
887,風,1854
888,名,1853
889,似,1852
890,弖,1846
891,溺,1844
892,圏,1834
893,自,1830
894,法,1829
895,愛,1822
896,芝,1818
897,∋,1814
898,防,1803
899,殺,1803
900,蕊,1783
901,俺,1778
902,↑,1773
903,夫,1768
904,姫,1754
905,∂,1753
906,後,1744
907,χ,1743
908,ぎ,1724
909,芒,1724
910,泌,1723
911,使,1706
912,道,1698
913,ⅳ,1689
914,ぉ,1679
915,禾,1678
916,金,1674
917,光,1671
918,文,1661
919,城,1654
920,∈,1651
921,食,1651
922,原,1642
923,変,1642
924,￡,1640
925,苧,1638
926,拆,1637
927,希,1629
928,同,1624
929,先,1620
930,付,1616
931,Ⅲ,1613
932,Ⅱ,1608
933,θ,1607
934,楽,1598
935,剣,1596
936,旡,1592
937,佗,1585
938,ぱ,1584
939,皿,1576
940,島,1569
941,男,1567
942,絶,1567
943,九,1563
944,玉,1562
945,淤,1560
946,乢,1559
947,㍍,1559
948,家,1555
949,武,1549
950,通,1540
951,非,1537
952,迄,1535
953,尓,1523
954,包,1523
955,迅,1523
956,蒼,1523
957,及,1519
958,葉,1518
959,廿,1515
960,①,1509
961,動,1502
962,身,1491
963,基,1485
964,多,1482
966,汀,1475
967,場,1473
968,怒,1472
969,妣,1469
970,個,1469
971,江,1459
972,Ч,1448
973,着,1446
974,Ц,1445
975,ｂ,1440
976,成,1438
977,４,1438
978,宮,1435
979,卩,1432
980,止,1427
981,学,1427
982,庁,1420
983,戎,1419
984,臣,1418
985,五,1413
986,理,1408
987,艦,1407
988,知,1404
989,５,1403
990,苳,1399
991,迂,1396
992,∝,1395
993,囗,1395
994,可,1391
995,羽,1390
996,μ,1388
998,弓,1374
999,明,1370
1000,持,1368
1001,δ,1364
1002,炸,1363
1003,㌶,1363
1004,Л,1357
1005,向,1349
1006,价,1348
1007,門,1348
1008,左,1346
1009,服,1335
1010,性,1328
1011,于,1328
1012,音,1325
1013,界,1319
1014,π,1316
1015,東,1311
1016,№,1310
1017,形,1309
1018,Ｓ,1308
1019,我,1303
1020,κ,1292
1021,対,1289
1022,冊,1279
1023,四,1275
1024,瓜,1267
1025,Ｑ,1265
1026,鬼,1264
1027,藤,1261
1028,灼,1252
1029,車,1252
1030,予,1251
1031,別,1251
1032,它,1246
1033,和,1243
1034,次,1240
1035,丞,1236
1036,Ж,1232
1037,㍑,1229
1038,匝,1228
1039,番,1226
1040,顔,1226
1041,夾,1225
1042,尤,1218
1043,切,1217
1044,靏,1217
1045,夜,1211
1046,炙,1210
1048,好,1207
1049,君,1202
1050,仞,1202
1051,氷,1200
1052,薇,1189
1053,近,1188
1054,冗,1187
1055,度,1187
1056,兄,1186
1057,烈,1185
1058,影,1179
1059,実,1176
1060,у,1173
1061,型,1169
1062,叨,1168
1063,刄,1166
1064,隊,1166
1065,達,1166
1066,平,1165
1067,傘,1160
1068,ρ,1159
1069,開,1157
1070,欟,1156
1071,茶,1154
1072,村,1153
1073,半,1152
1074,歩,1149
1075,屋,1147
1076,味,1142
1077,系,1142
1078,当,1139
1079,良,1135
1080,ぼ,1133
1081,允,1133
1082,愀,1133
1083,撃,1129
1084,暗,1129
1085,夭,1125
1086,発,1123
1087,話,1122
1088,Å,1121
1089,祓,1121
1090,艸,1116
1091,闘,1113
1092,縱,1110
1093,兵,1107
1094,軍,1105
1095,派,1103
1096,赫,1099
1097,為,1096
1098,丸,1096
1099,飛,1091
1100,巡,1087
1101,棗,1086
1102,ぷ,1085
1103,ざ,1084
1104,松,1077
1105,爨,1072
1106,引,1068
1108,冰,1061
1109,蕀,1056
1110,巨,1053
1111,感,1052
1112,從,1051
1113,黄,1050
1114,苹,1049
1115,杉,1047
1116,内,1046
1117,￥,1038
1118,￠,1038
1119,強,1035
1120,夢,1034
1121,繁,1034
1122,結,1032
1123,ψ,1031
1124,流,1028
1125,㏄,1024
1126,華,1023
1127,♂,1022
1128,処,1020
1129,尨,1018
1130,嬲,1017
1131,壁,1014
1132,版,1013
1133,卯,1011
1134,乳,1007
1135,圻,1003
1136,号,999
1137,霊,999
1138,台,998
1139,也,998
1140,団,998
1141,ⅷ,995
1142,態,995
1143,ａ,991
1144,馬,989
1145,所,988
1146,迩,988
1147,囚,988
1148,奈,987
1149,㎜,985
1150,有,984
1151,妖,983
1152,谷,982
1153,薯,982
1154,肉,981
1155,衢,979
1156,匀,978
1157,西,976
1158,区,975
1159,Ｒ,975
1160,丑,975
1161,犬,974
1162,与,971
1163,連,970
1164,信,969
1165,句,967
1166,超,962
1167,香,962
1168,崎,960
1169,意,957
1170,怪,954
1171,龍,950
1172,命,948
1173,頭,943
1174,早,943
1175,画,938
1176,丱,937
1177,犲,935
1178,佐,935
1179,宇,932
1180,円,932
1182,甘,929
1183,紗,927
1184,勝,927
1185,第,923
1186,α,922
1187,街,910
1188,Ｄ,909
1189,怨,909
1190,等,907
1191,Φ,907
1192,園,905
1193,友,904
1194,任,897
1195,京,897
1196,♯,894
1197,糸,894
1198,能,893
1199,右,892
1200,双,891
1201,ε,890
1202,紕,888
1203,∮,886
1204,亀,885
1205,貴,882
1206,仕,878
1207,義,878
1208,凡,877
1209,里,876
1210,翼,875
1211,呂,872
1212,百,872
1213,員,871
1214,ⅴ,870
1215,桜,870
1216,ｅ,869
1217,青,861
1218,仮,861
1219,Ｇ,856
1220,誰,856
1221,兮,855
1222,刎,854
1223,鑿,853
1224,電,848
1225,笑,847
1226,竜,847
1227,雪,845
1228,Ｐ,843
1229,頬,843
1230,獄,839
1231,相,838
1232,弁,833
1233,備,831
1234,矛,831
1235,御,827
1236,ぽ,827
1237,穴,826
1238,窃,825
1239,彑,823
1240,∑,819
1241,轟,819
1242,鏡,819
1243,期,818
1244,古,817
1245,叩,816
1246,市,816
1247,欝,816
1248,的,813
1249,春,812
1250,教,812
1251,豕,810
1252,司,810
1253,違,805
1254,ⅲ,804
1255,囲,804
1256,重,803
1257,噐,803
1258,亜,798
1259,茨,798
1260,忝,789
1261,沢,789
1262,г,788
1263,参,788
1264,血,788
1265,辺,786
1266,秋,784
1267,足,783
1268,羽,782
1269,凸,779
1270,色,778
1271,鬥,778
1272,貅,777
1273,羊,775
1274,伊,774
1275,叱,774
1276,線,773
1277,安,771
1278,束,771
1279,初,769
1280,笄,769
1281,圧,766
1282,吉,765
1283,関,764
1284,聞,763
1285,闡,761
1286,由,759
1287,恋,759
1288,座,758
1289,ｐ,758
1290,眉,758
1291,特,756
1292,広,756
1293,利,756
1294,∃,754
1295,萬,754
1296,鉄,753
1297,笠,752
1298,条,750
1299,静,749
1300,鳥,748
1301,俐,746
1302,疊,746
1303,廷,746
1304,蛙,745
1305,髪,744
1306,醸,743
1307,志,743
1308,永,743
1309,抓,742
1310,憎,742
1311,ぴ,741
1312,慧,740
1313,仔,739
1314,加,738
1315,卦,736
1316,瀬,735
1317,裸,735
1318,精,734
1319,令,733
1320,灘,733
1321,萄,726
1322,騎,726
1323,銀,725
1324,至,724
1325,室,722
1326,坂,720
1327,匂,720
1328,巫,720
1329,書,719
1330,想,719
1331,僕,718
1332,ｇ,718
1333,姉,715
1334,夏,712
1335,秘,711
1336,落,710
1337,紅,709
1338,眼,709
1339,襾,707
1340,取,707
1341,駄,706
1342,杁,706
1343,鏖,702
1344,亦,701
1345,待,701
1346,球,698
1347,母,697
1348,荻,697
1349,考,696
1350,歪,695
1351,仭,694
1352,南,691
1353,聖,691
1354,妙,690
1355,怎,687
1356,箋,685
1357,豺,682
1358,淼,681
1359,遊,680
1360,助,677
1361,要,676
1362,杰,674
1363,常,673
1364,字,672
1365,鸞,670
1366,制,668
1367,凶,668
1368,素,667
1369,未,667
1370,竹,662
1371,蹴,661
1372,都,660
1373,醴,660
1374,乗,657
1375,砂,654
1376,淵,649
1377,Κ,647
1378,直,646
1379,帝,643
1380,咲,642
1381,⇔,642
1382,眦,642
1383,⑪,641
1384,炊,639
1385,交,639
1386,料,638
1387,鈴,637
1388,河,635
1389,К,635
1390,敵,634
1391,亢,633
1392,羅,633
1393,図,632
1394,ｑ,631
1395,首,629
1396,宙,628
1397,県,627
1398,解,626
1399,破,625
1400,酒,624
1401,凛,624
1402,屶,623
1403,奴,622
1404,甲,621
1405,師,620
1406,共,617
1407,娘,617
1408,延,616
1409,牛,616
1410,樹,615
1411,亞,614
1412,決,614
1413,校,613
1414,社,612
1415,亘,611
1416,位,611
1417,浮,607
1418,残,606
1419,転,605
1420,勇,604
1421,Ψ,604
1422,彷,603
1423,磊,603
1424,祇,601
1425,衒,600
1426,妥,599
1427,輝,597
1428,牙,597
1429,波,596
1430,仟,595
1431,墨,595
1432,遠,593
1433,亙,593
1434,戊,591
1435,焼,585
1436,打,585
1437,幻,585
1438,定,583
1439,β,583
1440,堂,583
1441,紫,579
1442,瓦,578
1443,麗,577
1444,笂,576
1445,緒,576
1446,町,576
1447,飲,575
1448,朝,573
1449,靉,573
1450,並,572
1451,指,571
1452,滅,570
1453,饉,568
1454,果,566
1455,驫,566
1456,÷,565
1457,折,563
1458,放,561
1459,革,561
1460,矢,560
1461,㎞,560
1462,技,560
1463,辿,558
1464,靃,558
1465,射,555
1466,午,552
1467,欠,552
1468,極,552
1469,驪,552
1470,央,549
1471,将,548
1472,業,548
1473,述,547
1474,雲,546
1475,矧,544
1476,氏,544
1477,帰,542
1478,攻,542
1479,船,542
1480,岡,540
1481,倉,540
1482,謇,540
1483,屮,538
1484,托,538
1485,住,537
1486,負,537
1487,陽,536
1488,喝,535
1489,彼,535
1490,豆,535
1491,Ｂ,533
1493,Ⅰ,532
1494,染,532
1495,倒,530
1496,改,529
1497,完,528
1498,戒,527
1499,輪,526
1500,優,525
1501,現,524
1502,С,524
1503,鹿,524
1504,圓,524
1505,幸,517
1506,牟,517
1507,格,517
1508,輩,517
1509,Α,516
1510,功,515
1511,於,515
1512,反,515
1513,♭,515
1514,曰,514
1515,卉,514
1516,消,514
1517,叫,513
1518,魚,513
1519,具,513
1520,弾,512
1521,ぺ,509
1522,記,508
1523,纜,507
1524,妹,505
1525,呼,505
1526,念,505
1527,覚,505
1528,張,505
1529,攀,504
1530,饑,504
1531,院,503
1532,断,503
1533,刻,503
1534,忖,501
1535,寝,501
1536,猫,501
1537,淺,500
1538,憾,500
1539,穐,499
1540,路,499
1541,進,499
1542,喜,498
1543,耳,497
1544,ⅶ,496
1545,邪,495
1546,背,495
1547,兆,494
1548,突,493
1549,虫,493
1550,禁,492
1551,砲,491
1552,育,489
1553,速,488
1554,撮,488
1555,叮,487
1556,伏,487
1557,灸,485
1558,歌,483
1559,恐,483
1560,晶,481
1561,集,480
1562,桃,480
1563,忍,479
1564,壊,478
1565,抜,478
1566,忘,478
1567,店,476
1568,戯,475
1569,民,472
1570,起,471
1571,巾,471
1572,幼,470
1573,始,470
1574,＄,470
1575,雨,470
1576,級,469
1577,爆,468
1578,П,468
1579,運,468
1580,巻,467
1581,去,467
1582,涼,466
1583,渋,466
1584,狂,466
1585,洋,466
1586,過,465
1587,驂,464
1588,幽,464
1589,姿,463
1590,津,462
1591,蔵,462
1592,単,462
1593,砒,462
1594,親,460
1595,景,460
1596,若,460
1597,ゑ,459
1598,絡,458
1599,限,458
1600,礼,458
1601,嫌,458
1602,Η,457
1603,調,456
1604,存,456
1605,治,455
1606,失,455
1607,岩,455
1608,雷,454
1609,菜,453
1610,國,453
1611,受,452
1612,逆,452
1613,許,452
1614,説,450
1615,夲,450
1616,翫,449
1617,彩,447
1618,蠱,447
1619,ヂ,447
1620,在,446
1621,触,445
1622,織,445
1623,売,444
1624,箱,443
1625,胸,443
1626,吹,441
1627,韭,441
1628,汚,439
1629,衫,438
1630,朮,438
1631,韮,438
1632,状,437
1633,微,437
1634,配,436
1635,б,436
1636,登,435
1637,ⅹ,435
1638,逃,434
1639,館,433
1640,眠,432
1641,鬮,432
1642,点,431
1643,尾,430
1644,岑,430
1645,徒,429
1646,泉,428
1647,Δ,428
1648,苦,428
1649,朋,428
1650,且,428
1651,п,427
1652,横,427
1653,骨,427
1654,福,427
1655,絵,426
1656,深,426
1657,老,426
1658,玄,425
1659,攵,424
1660,仇,424
1661,鶸,423
1662,識,422
1663,舞,422
1664,送,421
1665,霆,421
1666,封,420
1667,叉,419
1668,産,418
1669,警,418
1670,緲,418
1671,走,416
1672,続,416
1673,読,416
1674,黶,416
1675,橋,415
1676,霾,415
1677,僧,414
1678,供,413
1679,角,412
1680,尢,411
1681,汁,411
1682,找,411
1683,投,410
1684,无,409
1685,銃,408
1686,印,408
1687,組,407
1688,皆,407
1689,刊,405
1690,保,405
1691,腕,405
1692,抄,404
1693,拳,404
1694,草,403
1695,鍛,402
1696,応,402
1697,驤,402
1698,雄,401
1699,語,400
1700,歳,400
1701,或,399
1702,根,399
1703,両,399
1704,乱,399
1705,曲,398
1706,滯,398
1707,総,397
1708,燃,397
1709,払,397
1710,族,396
1711,企,395
1712,役,395
1713,宝,393
1714,腹,392
1715,笙,392
1716,英,391
1717,灰,391
1718,譎,390
1719,Ε,389
1720,紀,388
1721,官,388
1722,眄,387
1723,願,387
1724,盗,384
1725,博,383
1726,像,383
1727,欲,382
1728,蠻,381
1729,追,380
1730,串,379
1731,仙,379
1732,買,377
1733,板,376
1734,孖,376
1735,異,375
1736,禰,374
1737,映,373
1738,巳,372
1739,護,372
1740,置,371
1741,弱,371
1742,毟,371
1743,陰,371
1744,渊,371
1745,阿,369
1746,陸,369
1747,満,369
1748,麻,367
1749,禳,367
1750,鬪,367
1751,略,366
1752,鼠,364
1753,惑,364
1754,勾,363
1755,黯,362
1756,支,362
1757,繭,362
1758,係,362
1759,毯,362
1760,返,362
1761,抱,362
1762,問,361
1763,修,361
1764,布,361
1765,壱,360
1766,清,359
1767,議,359
1768,駭,359
1769,困,359
1770,虎,358
1771,照,357
